5,0,4.5,90,0,90
4.903926402,0.97545161,4.987725805,90,0,101.25
4.619397663,1.913417162,5.456708581,90,0,112.5
4.157348062,2.777851165,5.888925583,90,0,123.75
3.535533906,3.535533906,6.267766953,90,0,135
2.777851165,4.157348062,6.578674031,90,0,146.25
1.913417162,4.619397663,6.809698831,90,0,157.5
0.97545161,4.903926402,6.951963201,90,0,168.75
3.06287E-16,5,7,90,0,180
-0.97545161,4.903926402,6.951963201,90,0,191.25
-1.913417162,4.619397663,6.809698831,90,0,202.5
-2.777851165,4.157348062,6.578674031,90,0,213.75
-3.535533906,3.535533906,6.267766953,90,0,225
-4.157348062,2.777851165,5.888925583,90,0,236.25
-4.619397663,1.913417162,5.456708581,90,0,247.5
-4.903926402,0.97545161,4.987725805,90,0,258.75
-5,6.12574E-16,4.5,90,0,270
-4.903926402,-0.97545161,4.012274195,90,0,281.25
-4.619397663,-1.913417162,3.543291419,90,0,292.5
-4.157348062,-2.777851165,3.111074417,90,0,303.75
-3.535533906,-3.535533906,2.732233047,90,0,315
-2.777851165,-4.157348062,2.421325969,90,0,326.25
-1.913417162,-4.619397663,2.190301169,90,0,337.5
-0.97545161,-4.903926402,2.048036799,90,0,348.75
-9.18861E-16,-5,2,90,0,360
0.97545161,-4.903926402,2.048036799,90,0,371.25
1.913417162,-4.619397663,2.190301169,90,0,382.5
2.777851165,-4.157348062,2.421325969,90,0,393.75
3.535533906,-3.535533906,2.732233047,90,0,405
4.157348062,-2.777851165,3.111074417,90,0,416.25
4.619397663,-1.913417162,3.543291419,90,0,427.5
4.903926402,-0.97545161,4.012274195,90,0,438.75
5,-1.22515E-15,4.5,90,0,450
